2026-03-23 00:19:32,866 | INFO     | tuner | Tuning 4-model ensemble weights (XGB+LGBM+LSTM+Transformer)...
2026-03-23 00:19:33,206 | INFO     | tuner | 4-model weights: {'xgb': 0.19165207265527956, 'lgbm': 0.3392145498316002, 'lstm': 0.1763822070779997, 'transformer': 0.2927511704351204}  AUC=0.5737
2026-03-23 00:19:33,218 | INFO     | pipeline |   TEST MWG  AUC=0.6086  Acc=0.5217
2026-03-23 00:19:33,225 | INFO     | models | Saved ensemble for MWG h=5
2026-03-23 00:19:33,228 | INFO     | pipeline | --- MSN -----------------------------------
2026-03-23 00:19:33,287 | INFO     | features | Feature matrix: 738 rows × 108 columns
2026-03-23 00:19:33,289 | INFO     | target_engineering |   Vol-adjusted labels: 66.0% of rows kept (threshold=0.3x daily vol, dropped 34.0% near-zero moves)
2026-03-23 00:19:33,290 | INFO     | target_engineering |   Vol-adjusted labels: 80.1% of rows kept (threshold=0.3x daily vol, dropped 19.9% near-zero moves)
2026-03-23 00:19:33,291 | INFO     | target_engineering |   Vol-adjusted labels: 84.3% of rows kept (threshold=0.3x daily vol, dropped 15.7% near-zero moves)
2026-03-23 00:19:33,292 | INFO     | target_engineering |   Vol-adjusted labels: 86.0% of rows kept (threshold=0.3x daily vol, dropped 14.0% near-zero moves)
2026-03-23 00:19:33,298 | INFO     | pipeline |   Splits: train=436, val=93, test=93
2026-03-23 00:19:33,420 | INFO     | target_engineering |   Feature selection: kept 40/99 features (dropped 59 low-importance)
2026-03-23 00:19:33,421 | INFO     | tuner | Tuning XGBoost (60 trials)...
2026-03-23 00:19:42,414 | INFO     | tuner | XGB best AUC: 0.6986  params={'n_estimators': 236, 'max_depth': 4, 'learning_rate': 0.016368134721605632, 'subsample': 0.9994434211412763, 'colsample_bytree': 0.9806449055147356, 'min_child_weight': 9, 'gamma': 0.10348858981274184, 'reg_alpha': 1.279016500881397, 'reg_lambda': 3.5995947117649716, 'eval_metric': 'logloss', 'random_state': 42, 'n_jobs': -1}
2026-03-23 00:19:42,414 | INFO     | tuner | Tuning LightGBM (60 trials)...
2026-03-23 00:19:44,135 | INFO     | tuner | LGBM best AUC: 0.7356  params={'n_estimators': 206, 'num_leaves': 141, 'learning_rate': 0.04290986553038209, 'feature_fraction': 0.7177382847868884, 'bagging_fraction': 0.6462539297736882, 'bagging_freq': 7, 'min_child_samples': 48, 'reg_alpha': 1.8884399622869226, 'reg_lambda': 1.1908492567939253, 'random_state': 42, 'n_jobs': -1, 'verbose': -1}
2026-03-23 00:19:44,136 | INFO     | tuner | Tuning LSTM (30 trials)...
2026-03-23 00:20:59,238 | INFO     | tuner | LSTM best AUC: 0.7937  params={'units_1': 124, 'units_2': 63, 'dropout': 0.447359511481727, 'learning_rate': 0.0024972747006065895, 'batch_size': 32, 'epochs': 41}
2026-03-23 00:20:59,239 | INFO     | models |   Fitting xgb…
2026-03-23 00:20:59,413 | INFO     | models |   Fitting lgbm…
2026-03-23 00:20:59,441 | INFO     | models |   Fitting lstm…
2026-03-23 00:21:02,066 | INFO     | transformer_pipeline | [transformer] Fine-tuning on MSN...
2026-03-23 00:21:02,282 | INFO     | transformer_pipeline | [transformer] MSN: transferred pre-trained weights
2026-03-23 00:21:10,481 | INFO     | transformer_pipeline | [transformer] MSN fine-tune TEST: AUC=0.5896  Acc=0.5378
2026-03-23 00:21:10,713 | INFO     | pipeline |   Transformer val predictions ready: 93 samples
2026-03-23 00:21:10,723 | INFO     | tuner | Tuning 4-model ensemble weights (XGB+LGBM+LSTM+Transformer)...
2026-03-23 00:21:11,041 | INFO     | tuner | 4-model weights: {'xgb': 0.18608266722350278, 'lgbm': 0.1796183876186187, 'lstm': 0.6327942173822539, 'transformer': 0.0015047277756245082}  AUC=0.8135
2026-03-23 00:21:11,053 | INFO     | pipeline |   TEST MSN  AUC=0.7208  Acc=0.4839
2026-03-23 00:21:11,062 | INFO     | models | Saved ensemble for MSN h=5
2026-03-23 00:21:11,066 | INFO     | pipeline | --- TCB -----------------------------------
2026-03-23 00:21:11,127 | INFO     | features | Feature matrix: 735 rows × 108 columns
